"index","AAPL_Daily_Adj._Open-Adj._Close_P_Delta","AAPL_Daily_Adj._Open-Adj._Close_P_Delta","AAPL_AfterHours_Adj._Close-Adj._Open_P_Delta","AAPL_Adj._Open","AAPL_Adj._High","AAPL_Adj._Low","AAPL_Adj._Close","AAPL_Adj._Volume","AAPL_25-day_Adj._Close_MA","AAPL_100-day_Adj._Close_MA","GOOG_Daily_Adj._Open-Adj._Close_P_Delta","GOOG_AfterHours_Adj._Close-Adj._Open_P_Delta","GOOG_Adj._Open","GOOG_Adj._High","GOOG_Adj._Low","GOOG_Adj._Close","GOOG_Adj._Volume","GOOG_25-day_Adj._Close_MA","GOOG_100-day_Adj._Close_MA","MSFT_Daily_Adj._Open-Adj._Close_P_Delta","MSFT_AfterHours_Adj._Close-Adj._Open_P_Delta","MSFT_Adj._Open","MSFT_Adj._High","MSFT_Adj._Low","MSFT_Adj._Close","MSFT_Adj._Volume","MSFT_25-day_Adj._Close_MA","MSFT_100-day_Adj._Close_MA","INTC_Daily_Adj._Open-Adj._Close_P_Delta","INTC_AfterHours_Adj._Close-Adj._Open_P_Delta","INTC_Adj._Open","INTC_Adj._High","INTC_Adj._Low","INTC_Adj._Close","INTC_Adj._Volume","INTC_25-day_Adj._Close_MA","INTC_100-day_Adj._Close_MA"
101013,0.0018665646,-0.005144572,0.0004309313,27.3163274854,27.4334364966,27.0313622246,27.1757966718,141636600,26.0248597187,26.0573354789,0,0,0,0,0,0,0,0,0,-0.0213204952,0.0017568517,24.2698408996,24.4534504249,23.5687863481,23.7523958735,93123900,23.7338322753,24.083845347,-0.0139352072,0.0030196884,16.7873262965,16.8673040301,16.4594175884,16.5533914255,59399000,16.0982401691,15.9003556863
102453,0.0068329511,0.0018665646,-0.0002388573,27.187507573,27.3085202179,27.0573864493,27.2382548112,93013200,26.0425041431,26.0821625893,0,0,0,0,0,0,0,0,0,-0.0017537706,0,23.7941253111,23.8775841863,23.6605911108,23.7523958735,48442100,23.7036086752,24.113743443,-0.0115606936,0.0038986355,16.603377509,16.6513641492,16.3474487613,16.4114309482,49909900,16.1199554089,15.9089393555
103893,0.0186563692,0.0068329511,0.0200749846,27.231748755,27.4451473978,27.1471700246,27.4178219618,91510300,26.0572130349,26.1100605582,0,0,0,0,0,0,0,0,0,0.0059732959,0.0010478519,23.7523958735,23.9109677363,23.5938240107,23.8942759613,42890600,23.6734109801,24.1403453303,-0.0033980583,0.0063321968,16.4754131352,16.4834109085,16.2034888407,16.4194287216,62750100,16.1343736556,15.9165792564
105333,-0.0042270806,0.0186563692,0.004841288,27.9682343148,28.5876108633,27.9278967665,28.4900200206,224905100,26.1595402865,26.1471190542,0,0,0,0,0,0,0,0,0,-0.0025296581,-0.0023611718,23.9193136239,23.9360053989,23.7190123234,23.8588059394,56001800,23.6587423795,24.167585151,0.0062923524,0.000962001,16.5233997754,16.667359696,16.3554465347,16.6273708291,45879700,16.1672654586,15.9240148373
109653,0.0215748248,-0.0042270806,-0.0035146978,28.6279484116,28.6383581015,28.398935234,28.5069357667,107472400,26.3001595824,26.1839042958,0,0,0,0,0,0,0,0,0,0.0038569425,-0.0024449878,23.8024711986,24.1446525868,23.7857794236,23.8942759613,39414500,23.6780591237,24.193773441,-0.0019221528,-0.0043331728,16.6433663759,16.6993507894,16.5553908688,16.6113752824,35742100,16.2160207317,15.9294792198
111093,0.004514597,0.0215748248,0.0036297193,28.4067425015,29.2772528186,28.3520916295,29.0196129938,230064800,26.4474046459,26.2268442666,0,0,0,0,0,0,0,0,0,0.0084033613,0.0020833333,23.8358547487,24.2948785621,23.8275088612,24.0361560491,50271600,23.695407903,24.2206360566,0.0125725338,0.0004775549,16.5393953221,16.9552795372,16.5233997754,16.7473374296,83168700,16.2635496997,15.9355944766
112533,0.0071010674,0.004514597,-0.0041362747,29.1249460434,29.3397109579,29.043034796,29.2564334388,149054500,26.5982410524,26.2704999036,0,0,0,0,0,0,0,0,0,0.0038115038,-0.0027614774,24.0862313742,24.2948785621,24.0361560491,24.1780361369,44891400,23.7167703274,24.2476766811,0.0114558473,-0.0023596036,16.755335203,17.0272594975,16.7233441095,16.9472817638,58435600,16.3095553111,15.9410238123
113973,-0.0033865506,0.0071010674,0.0082926829,29.1354207938,29.3423133804,29.0586493309,29.3423133804,101425100,26.7349723292,26.3159642242,0,0,0,0,0,0,0,0,0,0.0100380755,0.0047978067,24.1112690367,24.3616456623,24.0778854867,24.3532997747,35349700,23.7394939988,24.270265982,0.0052034059,0.0028235294,16.907292897,17.0112639507,16.7873262965,16.995268404,53778700,16.3597813278,15.9482008844
115413,-0.0068329044,-0.0033865506,-0.0053839365,29.5856398816,29.6324834861,29.3748436613,29.4854466164,104080900,26.914799722,26.3661259174,0,0,0,0,0,0,0,0,0,-0.0017053206,-0.0030748206,24.4701422,24.5202175251,24.2364573495,24.4284127624,31700200,23.791474812,24.2953435215,-0.001877053,-0.0051716032,17.0432550442,17.0912416844,16.9392839904,17.0112639507,39584500,16.4317612881,15.9593966469
119733,0.0012043893,-0.0068329044,0.0015189421,29.3266988456,29.3423133804,28.6591774813,29.1263123152,123375700,27.0625132216,26.4103410752,0,0,0,0,0,0,0,0,0,0.0037697053,0.0044383749,24.3532997747,24.5118716376,24.211419687,24.4451045374,37512000,23.838141686,24.3217460514,0.0004725898,0.0028341993,16.9232884437,17.0512528176,16.8353129367,16.9312862171,34378000,16.486146147,15.9679813891
121173,-0.0034682081,0.0012043893,0.0020049009,29.1705534972,29.2746503961,28.9532512207,29.2056862006,111727000,27.2203761688,26.4437691919,0,0,0,0,0,0,0,0,0,-0.0016995241,0.0044262853,24.5536010751,24.6120222878,24.3699915498,24.5118716376,36723500,23.8974485942,24.3487335327,0.0367404616,0.0022716947,16.9792728573,17.6270925,16.9552795372,17.6030991799,123060900,16.5712424556,15.9850955038
122613,0.0024542615,-0.0034682081,-8.92379E-05,29.2642407062,29.4659284479,29.0521432747,29.1627462298,112739200,27.3657474881,26.4687524476,0,0,0,0,0,0,0,0,0,0.0044067797,-8.43739E-05,24.6203681753,24.9291660134,24.5369093001,24.728864713,50385700,23.9557981869,24.376153836,0.0082728921,-0.0023603462,17.6430880467,17.8750234743,17.5231214462,17.7890474106,77805900,16.6541793655,16.006596966
124053,-0.0112998799,0.0024542615,0.0006231916,29.1601438073,29.2772528186,28.9662633331,29.2317104253,85527400,27.5194673787,26.4940610061,0,0,0,0,0,0,0,0,0,-0.0005906675,0.0050658561,24.7267782411,24.8039777007,24.6203681753,24.712172938,43845200,24.014144732,24.4033245021,0.0004506534,0.0022522523,17.7470591005,17.8750234743,17.6030991799,17.7550568738,54458500,16.7344770101,16.0257031558
