index,AAPL_Daily_Adj._Open-Adj._Close_P_Delta,AAPL_Daily_Adj._Open-Adj._Close_P_Delta,AAPL_AfterHours_Adj._Close-Adj._Open_P_Delta,AAPL_Adj._Open,AAPL_Adj._High,AAPL_Adj._Low,AAPL_Adj._Close,AAPL_Adj._Volume,AAPL_25-day_Adj._Close_MA,AAPL_100-day_Adj._Close_MA,GOOGL_Daily_Adj._Open-Adj._Close_P_Delta,GOOGL_AfterHours_Adj._Close-Adj._Open_P_Delta,GOOGL_Adj._Open,GOOGL_Adj._High,GOOGL_Adj._Low,GOOGL_Adj._Close,GOOGL_Adj._Volume,GOOGL_25-day_Adj._Close_MA,GOOGL_100-day_Adj._Close_MA,GOOG_Daily_Adj._Open-Adj._Close_P_Delta,GOOG_AfterHours_Adj._Close-Adj._Open_P_Delta,GOOG_Adj._Open,GOOG_Adj._High,GOOG_Adj._Low,GOOG_Adj._Close,GOOG_Adj._Volume,GOOG_25-day_Adj._Close_MA,GOOG_100-day_Adj._Close_MA,AOSL_Daily_Adj._Open-Adj._Close_P_Delta,AOSL_AfterHours_Adj._Close-Adj._Open_P_Delta,AOSL_Adj._Open,AOSL_Adj._High,AOSL_Adj._Low,AOSL_Adj._Close,AOSL_Adj._Volume,AOSL_25-day_Adj._Close_MA,AOSL_100-day_Adj._Close_MA,MSFT_Daily_Adj._Open-Adj._Close_P_Delta,MSFT_AfterHours_Adj._Close-Adj._Open_P_Delta,MSFT_Adj._Open,MSFT_Adj._High,MSFT_Adj._Low,MSFT_Adj._Close,MSFT_Adj._Volume,MSFT_25-day_Adj._Close_MA,MSFT_100-day_Adj._Close_MA,FB_Daily_Adj._Open-Adj._Close_P_Delta,FB_AfterHours_Adj._Close-Adj._Open_P_Delta,FB_Adj._Open,FB_Adj._High,FB_Adj._Low,FB_Adj._Close,FB_Adj._Volume,FB_25-day_Adj._Close_MA,FB_100-day_Adj._Close_MA,ORCL_Daily_Adj._Open-Adj._Close_P_Delta,ORCL_AfterHours_Adj._Close-Adj._Open_P_Delta,ORCL_Adj._Open,ORCL_Adj._High,ORCL_Adj._Low,ORCL_Adj._Close,ORCL_Adj._Volume,ORCL_25-day_Adj._Close_MA,ORCL_100-day_Adj._Close_MA,INTC_Daily_Adj._Open-Adj._Close_P_Delta,INTC_AfterHours_Adj._Close-Adj._Open_P_Delta,INTC_Adj._Open,INTC_Adj._High,INTC_Adj._Low,INTC_Adj._Close,INTC_Adj._Volume,INTC_25-day_Adj._Close_MA,INTC_100-day_Adj._Close_MA,IBM_Daily_Adj._Open-Adj._Close_P_Delta,IBM_AfterHours_Adj._Close-Adj._Open_P_Delta,IBM_Adj._Open,IBM_Adj._High,IBM_Adj._Low,IBM_Adj._Close,IBM_Adj._Volume,IBM_25-day_Adj._Close_MA,IBM_100-day_Adj._Close_MA
101013,0.0018665646,-0.005144572,0.0004309313,27.3163274854,27.4334364966,27.0313622246,27.1757966718,141636600,26.0248597187,26.0573354789,0.0104205573,0.002402691,268.5690469193,273.6748079143,268.3333192506,271.3676860502,8704800,268.5382919817,283.1680676979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0213204952,0.0017568517,24.2698408996,24.4534504249,23.5687863481,23.7523958735,93123900,23.7338322753,24.083845347,0,0,0,0,0,0,0,0,0,-0.0084711577,-0.0028478438,22.887550142,23.0352713208,22.6382706528,22.6936660948,23535000,22.0802538998,21.3265773394,-0.0139352072,0.0030196884,16.7873262965,16.8673040301,16.4594175884,16.5533914255,59399000,16.0982401691,15.9003556863,-0.0099456099,0.0024328991,109.5816403937,109.9137059706,108.2448635839,108.4917841411,6013300,106.5446309136,107.3081186176
102453,0.0068329511,0.0018665646,-0.0002388573,27.187507573,27.3085202179,27.0573864493,27.2382548112,93013200,26.0425041431,26.0821625893,0.0054576296,0.0021638671,272.0196987509,274.9086165635,270.4598837514,273.5042815157,6172600,268.5964715766,283.3073977965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0017537706,0,23.7941253111,23.8775841863,23.6605911108,23.7523958735,48442100,23.7036086752,24.113743443,0,0,0,0,0,0,0,0,0,-0.0004079967,-0.0012244898,22.6290380791,22.7952244053,22.5274797687,22.6198055054,20726400,22.1031506825,21.363691192,-0.0115606936,0.0038986355,16.603377509,16.6513641492,16.3474487613,16.4114309482,49909900,16.1199554089,15.9089393555,-0.0066546622,0,108.7557337023,109.0026542595,107.8617109951,108.0320010346,6390000,106.6023563299,107.3523390218
103893,0.0186563692,0.0068329511,0.0200749846,27.231748755,27.4451473978,27.1471700246,27.4178219618,91510300,26.0572130349,26.1100605582,0.0148032937,0.0121891848,274.0961084287,278.9260178965,273.9456439593,278.1536336202,6361200,268.847045073,283.5100734368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0059732959,0.0010478519,23.7523958735,23.9109677363,23.5938240107,23.8942759613,42890600,23.6734109801,24.1403453303,0,0,0,0,0,0,0,0,0,0.0118512464,0.0040387722,22.5921077844,22.9521781578,22.4166888846,22.859852421,20925500,22.1363879478,21.4010913005,-0.0033980583,0.0063321968,16.4754131352,16.4834109085,16.2034888407,16.4194287216,62750100,16.1343736556,15.9165792564,-0.001261034,0.0035511364,108.0320010346,108.1937765721,106.8314562564,107.895769003,6032300,106.634967561,107.3993320528
105333,-0.0042270806,0.0186563692,0.004841288,27.9682343148,28.5876108633,27.9278967665,28.4900200206,224905100,26.1595402865,26.1471190542,0.0050948606,0.0010102621,281.5440996641,284.7138844862,280.8168547287,282.9785276058,7816500,269.4472979962,283.7506159686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0025296581,-0.0023611718,23.9193136239,23.9360053989,23.7190123234,23.8588059394,56001800,23.6587423795,24.167585151,0,0,0,0,0,0,0,0,0,0.0036202735,0.0008016032,22.9521781578,23.0814341892,22.9337130104,23.0352713208,19312900,22.1910447839,21.4403375203,0.0062923524,0.000962001,16.5233997754,16.667359696,16.3554465347,16.6273708291,45879700,16.1672654586,15.9240148373,0.0006290792,-0.0014931238,108.2789215918,108.6024726668,108.1682330662,108.3470376076,6140200,106.7731044542,107.4201210198
109653,0.0215748248,-0.0042270806,-0.0035146978,28.6279484116,28.6383581015,28.398935234,28.5069357667,107472400,26.3001595824,26.1839042958,-0.0040723822,-0.0046757218,283.2644100976,283.4650293902,281.3735732655,282.1108491655,4768000,270.1000329264,283.9434111087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0038569425,-0.0024449878,23.8024711986,24.1446525868,23.7857794236,23.8942759613,39414500,23.6780591237,24.193773441,0,0,0,0,0,0,0,0,0,-0.0108129756,-0.004048583,23.0537364682,23.0537364682,22.7859918316,22.8044569789,16843600,22.2516104672,21.4774598845,-0.0019221528,-0.0043331728,16.6433663759,16.6993507894,16.5553908688,16.6113752824,35742100,16.2160207317,15.9294792198,-0.0051156934,-0.0011075073,108.1852620701,108.5599001569,107.589246932,107.6318194419,6199300,106.9287434302,107.4243908841
111093,0.004514597,0.0215748248,0.0036297193,28.4067425015,29.2772528186,28.3520916295,29.0196129938,230064800,26.4474046459,26.2268442666,0.0006073055,0.0063728378,280.7917773171,283.2042243099,279.1115907421,280.9623037158,6346800,270.6451155442,284.1143387459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0084033613,0.0020833333,23.8358547487,24.2948785621,23.8275088612,24.0361560491,50271600,23.695407903,24.2206360566,0,0,0,0,0,0,0,0,0,0.0113821138,-0.0036173633,22.7121312422,23.173759926,22.6752009475,22.9706433051,21835800,22.3129147564,21.5144933775,0.0125725338,0.0004775549,16.5393953221,16.9552795372,16.5233997754,16.7473374296,83168700,16.2635496997,15.9355944766,-0.005702067,0.0034647551,107.5126164142,107.5296454182,106.6015647031,106.8995722722,7528800,106.9777891036,107.4215070501
112533,0.0071010674,0.004514597,-0.0041362747,29.1249460434,29.3397109579,29.043034796,29.2564334388,149054500,26.5982410524,26.2704999036,0.0225095785,-0.0037991153,282.7528309016,290.1456518316,281.9754311431,289.1174779574,11298400,271.5545227973,284.3206255335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0038115038,-0.0027614774,24.0862313742,24.2948785621,24.0361560491,24.1780361369,44891400,23.7167703274,24.2476766811,0,0,0,0,0,0,0,0,0,0.0032271077,-0.0028146361,22.887550142,23.0998993366,22.7859918316,22.9614107314,23095900,22.3539073836,21.548854515,0.0114558473,-0.0023596036,16.755335203,17.0272594975,16.7233441095,16.9472817638,58435600,16.3095553111,15.9410238123,-0.0028971703,0.0007164464,107.269953108,107.589246932,106.6100792051,106.959173786,6916200,107.0000605316,107.4079958033
113973,-0.0033865506,0.0071010674,0.0082926829,29.1354207938,29.3423133804,29.0586493309,29.3423133804,101425100,26.7349723292,26.3159642242,0.0119806359,0.0120452903,288.0190873307,294.0125886953,287.9889944369,291.4697391624,8458100,272.3634197848,284.5775686924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0100380755,0.0047978067,24.1112690367,24.3616456623,24.0778854867,24.3532997747,35349700,23.7394939988,24.270265982,0,0,0,0,0,0,0,0,0,0.0137096774,-0.000795545,22.8967827157,23.3122485311,22.8967827157,23.2106902207,24214600,22.4052404932,21.5845105763,0.0052034059,0.0028235294,16.907292897,17.0112639507,16.7873262965,16.995268404,53778700,16.3597813278,15.9482008844,0.0150346035,0.0024294671,107.0358043037,108.8238497181,107.0358043037,108.6450451766,7922200,107.0853591642,107.4144655775
115413,-0.0068329044,-0.0033865506,-0.0053839365,29.5856398816,29.6324834861,29.3748436613,29.4854466164,104080900,26.914799722,26.3661259174,-0.0146223688,-0.0221900128,294.9805767818,295.048285793,290.4766736643,290.6672619922,5501200,273.4219272961,284.7264783623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0017053206,-0.0030748206,24.4701422,24.5202175251,24.2364573495,24.4284127624,31700200,23.791474812,24.2953435215,0,0,0,0,0,0,0,0,0,-0.0027866242,-0.0051896208,23.1922250733,23.2568530891,22.8321547,23.1275970576,35344700,22.4768852649,21.6148206539,-0.001877053,-0.0051716032,17.0432550442,17.0912416844,16.9392839904,17.0112639507,39584500,16.4317612881,15.9593966469,0.0002345399,-0.0042207285,108.9089947378,109.3006618286,108.5684146589,108.9345382437,5169500,107.2724248381,107.4773314348
119733,0.0012043893,-0.0068329044,0.0015189421,29.3266988456,29.3423133804,28.6591774813,29.1263123152,123375700,27.0625132216,26.4103410752,-0.0061763253,-0.0023971022,284.2173517372,285.606640338,278.8608166264,282.4619329275,9298400,274.06170222,284.7821000611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0037697053,0.0044383749,24.3532997747,24.5118716376,24.211419687,24.4451045374,37512000,23.838141686,24.3217460514,0,0,0,0,0,0,0,0,0,0.0144462279,0.0039556962,23.0075735998,23.4276557021,22.9706433051,23.3399462521,22025300,22.5407746748,21.6416334442,0.0004725898,0.0028341993,16.9232884437,17.0512528176,16.8353129367,16.9312862171,34378000,16.486146147,15.9679813891,0.0033751962,0.0013298913,108.4747551372,109.2751183227,108.3725811135,108.840878722,4497700,107.4567612813,107.5272777889
